NAME,25th,75th,Total
University of Idaho,1010,1220,2000
Appalachian State University,1100,1270,2000
Champlain College,1090,1280,2000
University of North Carolina School of the Arts,1090,1280,2000
Rockhurst University,1110,1255,2000
Luther College,1050,1310,2000
Elizabethtown College,1070,1290,2000
Grove City College,1085,1275,2000
Eckerd College,1080,1280,2000
Western Washington University,1080,1280,2000
University of Michigan--Dearborn,1070,1290,2000
Wentworth Institute of Technology,1080,1280,2000
University of Texas at Tyler,1080,1280,2000
Moore College of Art & Design,1090,1270,2000
Pratt Institute,1050,1310,2000
Thomas More College of Liberal Arts,1130,1230,2000
Augusta University,1110,1242,2000
St. Mary's College of Maryland,1060,1290,2000
Hollins University,1070,1280,2000
St. Edward's University,1080,1270,2000
SUNY Polytechnic Institute--Albany/Utica,1000,1350,2000
Le Moyne College,1080,1270,2000
Drury University,1070,1280,2000
Kennesaw State University,1080,1270,2000
New York School of Interior Design,1050,1300,2000
Missouri University of Science and Technology,1188,1380,2000
University of Massachusetts--Lowell,1150,1320,2000
University of Houston,1130,1310,2000
University of Louisville,1070,1290,2000
Ohio University,1070,1270,2000
St. John Fisher College,1080,1250,2000
CUNY--City College,1060,1240,2000
Thomas Jefferson University,1060,1240,2000
University of St. Joseph,1030,1210,2000
Washington State University,1020,1210,2000
Montclair State University,990,1170,2000
Lebanon Valley College,1068,1280,2000
Millsaps College,1080,1260,2000
Carroll College,1070,1270,2000
High Point University,1090,1250,2000
University of Redlands,1080,1260,2000
University of Tampa,1090,1250,2000
Franciscan University of Steubenville,1060,1280,2000
Hamline University,1060,1280,2000
Pacific Lutheran University,1070,1270,2000
Montana Technological University,1110,1230,2000
Andrews University,1040,1300,2000
Wichita State University,1050,1290,2000
Kettering College,1140,1200,2000
Pennsylvania State University--Harrisburg,1050,1290,2000
Westminster College (UT),1080,1258,2000
Gordon College,1050,1285,2000
SUNY Maritime College,1075,1260,2000
Brigham Young University--Hawaii,1083,1250,2000
Purchase College--SUNY,1060,1270,2000
Manhattan College,1070,1260,2000
Benedictine College,1050,1280,2000
University of West Florida,1080,1250,2000
Martin Luther College,1080,1250,2000
Principia College,1028,1300,2000
Xavier University,1070,1250,2000
College of Charleston,1070,1250,2000
California Lutheran University,1070,1250,2000
University of Mary Washington,1050,1269,2000
Canisius College,1050,1270,2000
New York Institute of Technology,1050,1270,2000
University of Alaska--Fairbanks,1050,1270,2000
University of Mary,1047,1272,2000
University of Texas at Arlington,1060,1260,2000
Maryland Institute College of Art,1030,1290,2000
Otis College of Art and Design,1050,1270,2000
University of North Carolina--Wilmington,1190,1320,2000
Florida International University,1090,1260,2000
Oklahoma State University,1060,1280,2000
Biola University,1060,1260,2000
Pacific University,1060,1250,2000
University of Detroit Mercy,1050,1250,2000
University of New Mexico,1030,1270,2000
Rowan University,1008,1223,2000
Saint Mary's College,1050,1260,2000
Salem College,1050,1260,2000
University of North Carolina Asheville,1060,1250,2000
St. Mary's College of California,1060,1250,2000
University of St. Thomas (TX),1060,1250,2000
Freed-Hardeman University,1010,1300,2000
Lawrence Technological University,1030,1280,2000
SUNY--Oswego,1070,1240,2000
Ave Maria University,1050,1260,2000
University of New Orleans,1050,1260,2000
University of Northwestern--St. Paul,1053,1248,2000
Spelman College,1080,1220,2000
Hampden-Sydney College,1050,1250,2000
Hanover College,1040,1260,2000
Simpson College,1050,1250,2000
Northwestern College,1050,1250,2000
St. Mary's University of San Antonio,1050,1250,2000
William Jewell College,1030,1270,2000
Arcadia University,1050,1250,2000
Oklahoma Christian University,1020,1280,2000
CUNY--Brooklyn College,1060,1240,2000
Arizona State University--West,1050,1250,2000
Ouachita Baptist University,1040,1250,2000
California State University--Long Beach,1040,1250,2000
San Jose State University,1030,1260,2000
Monmouth University,1040,1250,2000
Molloy College,1060,1230,2000
Springfield College,1050,1240,2000
St. Francis University,1040,1250,2000
Grand Valley State University,1050,1240,2000
Ramapo College of New Jersey,1050,1240,2000
Cleveland Institute of Art,1060,1230,2000
Johnson University (TN),1050,1240,2000
Baldwin Wallace University,1030,1250,2000
California State Polytechnic University--Pomona,1020,1260,2000
Nebraska Wesleyan University,1010,1270,2000
St. Bonaventure University,1040,1240,2000
